Title,Rating,Genres,Rank,Year,Air Date,Episodes,Duration,Watchers,Tags,Synopsis,Cast,Network,Review
New Love Playlist,,,5067,2022.0,2022.0,12,,,,“New Love Playlist” will tell the story of college students during the COVID-19 pandemic and how they deal with feelings of love in such an unimaginable and difficult time.,"Bae Hyeon Jun, Kim Sun Bin, Lee Ha Min, Oh Yu Jin, Yoo Jung Hoo, Yoon Ye Joo",Viki,"Not Good Enough  Korean Web Drama "" New Love Playlist "" is a drama of the Love Playlist series. This time, it takes up the love and friendship of college students during the Covid-19 era.And even though the concept is interesting, and the mood of the drama just right, youthful and light, as it was in the previous dramas of the series, the story wasn't as strong. It was predictable and cheesy and the drama got too cringey by trying to be hip and up to date with the social media trends. Also, the romance didn't work due to the decisions of the characters. Everything would have been solved if the characters were honest with their feelings. Alas, there was too much unnecessary drama for no reason.On the other hand, the friendship was enjoyable to watch and the college friends had good chemistry with them. Unfortunately, the side characters' stories were left half baked. The constant getting drunk of the female lead got annoying after a while as well.So, overall, three out of ten."
New Normal Zine,,,55829,2022.0,2022.0,12,,,,"Cha Ji Min is a single woman who pursues a slow living lifestyle. She worked as a local news reporter for a current affairs magazine, but that magazine was shut down. She then starts work as an editor for digital magazine ""New Normal Zine"" under the same parent company.  There, her new boss is Chief Editor Song Ro Ji. Cha Ji Min and Song Ro Ji are familiar with each other, as they started to work for the parent company in the same year. Song Ro Ji is a workaholic and totally different from Cha Ji Min. Now, Cha Ji Min tries to survive there.(Source: Asianwiki)","Gwon Hui Jun, Hwang Seung Eon, Jang Eui Soo, Jung Hye Sung, Kim Ah Hyun, Lee Won Jung",,"The Difference Between Y and Z  Actually, I think they basically tried to explain the difference between the Y and Z generations which is not that clear because we don't really know their ages but we can differenciate in their actions as much as we can.The way they explained the drama was confusing and illogical. There were a lot of inconsistent actions and it was really sad that they judged people who think and prefer marriage, serious relationship, monogamy as closed minded.While trying to break stereotypes in the series, I couldn't understand why they set up new stereotypes, that didn't make any sense to me.There were explicit scenes at unnecessary moments, it was annoying that no one cared about anything and many toxic behaviors were called normal.At the end of the series, I think they couldn't connect the subject and gave a very unlinked message to the drama, at least that is what I'm thinking.It didn't add anything to me, it was a complete disappointment."
New Recruit,,,53324,2022.0,2022.0,10,,,,"A hyper-realistic comedy depicting the story of a 'military' recruit enlisting in a place where all kinds of people, from the good to the bad to the weird, gather.(Source: HanCinema)~~ Adapted from the animation "" New Recruit"" (신병) by Jang Bbi Jju (장삐쭈). ","Jeon Seung Hun, Kim Min Ho, Lee Choong Goo, Lee Jung Hyun, Lee Sang Jin, Nam Tae Woo",ENA Genie TV,
Newtopia ,7.4,"Action, Fantasy, Horror, Romance",#330,2025.0,,8,,,"Chef Supporting Character, City Setting, Comedy, Company President (CEO) Supporting Character, Engineer Female Lead, Hotelier Supporting Character, Soldier Male Lead, Team Leader Male Lead, Zombie Apocalypse, Zombies","It is a drama that depicts the process of a soldier, Jae Yun, and his girlfriend, Yeong Ju, who have just been notified of a breakout, fighting against hordes of zombies and running toward each other, set in an air defense unit in a high-rise building in Seoul. Jae Yun enlisted in the military at the late age of 26 while seeking alternative service through employment in the defense industry. Anxious about his future, he becomes obsessed with his girlfriend, eventually breaks up with her, and faces a world turned upside down by hordes of zombies. He was weak and lacked confidence, but as he fought the zombie outbreak, he gradually began to act as the leader of the squad. Yeong Ju is a rubber rookie who is new to society and is having a hard time with Jae Yun, who does not understand her feelings before being notified of their breakup. As she sets out to meet her boyfriend, she discovers a zombie outbreak and gradually becomes stronger in the fight for survival.","Ji Soo, Park Jeong Min",,
Next Door Witch J,,,7523,2021.0,2021.0,12,,,,"“Next Door Witch J” was pitched through the Korea Creative Content Agency’s “Story to Book” in 2018. It is also the first selection for the 2020 pilot division of the Broadcasting Content Production Support Project. It will be produced by Kim Jong Hak Production, who has produced hit web dramas like “High-End Crush” and “Gogh, the Starry Night.”Seo Je Yi is the star beauty creator who makes content under the name “Next Door Witch J.” She is a smooth talker who isn’t afraid to say what she feels, and that has made her successful as a beauty creator.Lee Woo Bin is the CEO of a cosmetics start-up company. His products get acknowledged by Seo Je Yi, the star beauty creator, but he struggles to get close to her as a person. He is highly intelligent but has zero social skills when it comes to dating.Lee Tae Kyung is the director of the company MCN, which is an agency that specializes in managing beauty content creators. Tall and handsome, Lee Tae Kyung secretly has a crush on Seo Je Yi as well, making him one side of a love triangle with Lee Woo Bin.Oh Oh Young is another beauty creator who has more than 1 million subscribers. She used to be Seo Je Yi’s idol, but she soon became a troublemaker with “star disease,” demanding special treatment and the quality of her content going down. She is currently Seo Je Yi’s rival.","Go Sung Min, Jang Eui Soo, Jang Yu Bin, Lee Tae Sun, Park Ji Yeon",Viki,"Good Enough  Korean Web Drama 'Next Door Witch J' is a short drama with a killer female lead. Actually, the best thing about this drama is the female lead. She is strong, sassy, funny, energetic, and cute. The actress was also great, doing a great job with her performance. She additionally had chemistry with her partner.But, even though the main idea of the drama was okay, the story was rushed and, thus, it wasn't presented as it should. The love story happened in a blink of an eye and the love triangle was not well constructed. The rivalry of the two content creators needed, also, more time to be properly shown.So, overall, four out of ten."
Nice Na Ik Soo,,,45747,2021.0,2021.0,5,,,,,Lee Il Joon,,
Nice Witch,,,2632,2018.0,2018.0,40,,,,"A housewife too nice for her own good is married to an unemployed husband. She switches places with her selfish, opinionated twin sister, who works as a flight attendant. Although they are identical twins, they have polar opposite personalities. Aboard the plane, she meets the pilot, an abstinent bachelor, and their journey sets off.(Source: SBS International) ","Ahn Woo Yeon, Bae Soo Bin, Lee Da Hae, Ryu Soo Young, Shim Hyung Tak, Yoon Se Ah",SBS,"Surprisingly an enjoyable drama. The story is kind of an ordinary drama story, with twins taking each other places, really evil rich people, a tragic leading lady and an awful past. The story is kind of entertaining, especially the romance, that was intense and there was clearly some good chemistry between the couple. Then, there were the performances. The leading lady was killing it, posing as the good and the bad sister effortless. She  was actually very good and probably the main reason, along with the romance, that this drama was good. Also, the whole rich family drama was entertaining. So, 7 out of 10."
Nickname Pine Leaf,,,8309,2021.0,2021.0,3,,,,The story of the main character who claimed to be a broadcaster.(Source: yougrD YouTube) ,"I.L, Jung Woo Seok, Lim Han I, Yan An, Yang Hong Seok, Yeo One",SBS,"Expectations raised.  This webdrama surprisingly was a lot better than I expected. The storyline seems like it was adapted from a fanfiction, however, the ending made it so much better. I love how it was short and sweet, so even when the plot slowed down, it didn't feel like it was dragging on. The acting was really impressive for these types of webdramas. Yeo One and Woo Seok are both not particularly strong in acting, but their visuals definitely made up for it. Now onto the female lead and her best friend. They carried this show. At first, I couldn't tell them apart-- but after a little more effort, I could see their chemistry shining through. They worked really naturally together, and I had fun watching them.Overall, I would NOT recommend unless you are a 'Universe.'"
Night Light,,,7938,2016.0,2016.0,20,,,,"This drama depicts the intense and fierce fight among three greedy individuals, in order to become the owner of most splendid light sources for the city that never sleeps: money and power. Seo Yi Kyung is a ruthless and sharp businesswoman, who is willing to do anything for her ambitions. Park Gun Woo is an heir to a big company who got betrayed by his love, Yi Kyung, 12 years ago. Lee Se Jin is a hired persona who gets attracted to Yi Kyung's aura and wants to be like her.","Jeon Gook Hwan, Jin Goo, Jung Hae In, Jung Han Yong, Lee Yo Won, Uee",MBC,I didnt have much expectations on watching this drama bec im not into politics - corporatation issues  -but I watched it bec I trust Yo Won as an actress - true enough her charcter got my attention - but still I cant  trust the plot of the story - I saved my self time and fast forward many scences - I could not drop watching it because It is intruiging and has potential of being an intelligent drama but at the same time can lead to a huge dissapintment- true enough-   if i had watched 20episodes  closely I would have regret itProsIntruiging charactersConsNothing special with the characters in the end (toinks)ProsCeos character is consistent  butConsOnly until ep 19ProsSe Jins character  is intruging like her motives - psychological effects of things she suddenly got into - like an experiment of putting someone in another planet with the chance to be a new being - and watch how she would react to it - ConsIt turned out FLAT - nobodys experimenting - thus all the character became questionable rather than intruiging ProsOutfits are nice butConsThe never showed inner clothings! Ive been wondering how the outfits look like only if they take off the coats at timesProsThe casts are lovely and entertaining to watch like precious vesselsConsThey were not filled with substance ProsThe drama is  an art (entertaining to look at)ConsWhich did  not turn out to be a master piece (not something youd buy for price)
Night of Love,,,99999,2020.0,2020.0,6,,,,"""Unlike others when I see people are dating, I can see how they will end up. ""'Will our story be able to begin where the end and beginning meet?' ",,,
Nightmare Teacher,,,4902,2016.0,2016.0,12,,,,"When a new teacher arrives, students' dreams begin to come true. Ye Rim, the class president, has to solve the bizarre and scary mystery before it's too late. ","Baek Seung Do, Kim Da Ye, Kim So Hyun, Lee Min Hyuk, Seo Shin Ae, Uhm Ki Joon",Naver TV Cast,"Eeriely confusing but also intriguing  This mini-series is short yet impactful. The storyline is repetitive as if it's trying to emphasize a point. Although, I admit I've been lost after watching it as if I forget everything that I watched as well. (Same as how they forget their missing classmate at the end of every other episode)Okay so the plot is like, a creepy substitute teacher came to the school and tries to tempt students with a power that will allow them to get away from what they fear the most. There's kind of a trial period but as they get greedy for more, they have to sign a contract not fully thinking about possible consequences. It only ends with them being trapped on a mirror full of darkness and being forgotten by everyone. This has been repeating 6x on the drama and the only differences are the students have different fears to get away from thus different solutions/scenarios as well with the same pattern.The casts were really good and the creepy teacher gives off that vibe that you can trust him but his smile is also meaningful enough for you to see that behind those smile is a hidden motive. If there's something I didn't really grasp the character, it was Kim SoHyun. Well, she did great in terms of acting but I didn't get what the drama is trying to achieve using her character. It just confuses me (or maybe I'm just too slow, I'm not sure myself.)I mainly watched this because of Kim SoHyun and if you really like her acting she's still superb in this mini-series although the plot can be a bit disappointing. This isn't a bad drama after all you can watch it in one sitting just like how you watch a movie. There's also a lot of good takeaways like how greed can end badly for you. And how nightmares are there not to harm you but to heal you."
Nine: Nine Times Time Travel,8.4,"Mystery, Romance, Supernatural",#157,2013.0,2013.0,20,52.0,,"1990s, Announcer Male Lead, Arrogant Male Lead, Brain Tumor, Bromance, Female Chases Male First, Hidden Past, Magical Object, Reporter Female Lead, Time Travel","Park Sun Woo works as an anchorman at a TV broadcasting station. He is in love with news reporters Joo Min Young, who is bright and honest. Park Sun Woo then obtains 9 incense items, which allows him to go back 20 years in time. Sun Woo travels to the past in an attempt to keep his family safe in order to change the world he lives in today. However, this is not without consequences for his actions in the past affects the lives of many in the present, including his crush.","Jo Min Ah, Jo Yoon Hee, Lee Jin Wook, Lee Seung Joon, Lee Yi Kyung, Oh Min Suk",tvN,
Nineteen,,,43554,2019.0,2019.0,8,,,,"“Nineteen” is a drama in the form of a vlog  in which the protagonist shares her daily life and tells a story through video. The main character is Han Sung Min, a model and new actor who is receiving the most attention in the fashion and beauty industry. “Nineteen” is as an interactive content in which the protagonist directly communicates with subscribers and creates a story, adding to the expectation. Han Sung Min is a person who has a beautiful appearance and a stylish sense, but struggles with 'love', and plans to proceed with a relationship by referring to the comments of subscribers on the content.","Han Sung Min, Hyun Woo Seok, Jung Min Gyu",Naver TV Cast,
"Nineteen, Logout",,,48770,2021.0,2021.0,7,,,,"A travelling web drama in which a 19 year old high school girl who wants to break down her boundary, only for her to get hurt, she then meets people who heal her on the way.(Source: Xavier Ng at MyDramaList)","Ham Ji Soo, Kim Yoon Ah",,
No Bad Days,,,43201,2017.0,2017.0,10,,,,"An ordinary female protagonist in her twenties who has no easy things such as work, love, and relationships. ","Bang Eun Jung, Chae Jong Hyeop, Lee You Mi",,
No Bother Me,,,49634,2021.0,2021.0,35,,,,A story about unrefined 'savage' that any 20-year-old college student would have crossed paths with. (Source: Naver),"Jung Do Myung, Jung Young Won, Kim Young Shik, Moon Seo Yool, Oh Jung Woo, Seo Ye Ri",,"A Simple series about students in College with Friendship and Romance Elements  Since no one else has written a review about this web series, I have decided to write one for anyone who is thinking about or is interested in watching this. I would like to start by saying this series was very interesting as someone who has just started going to University. I do see the similarities to real life and this drama, portraying matters of friendship problems, trying to find friends, fitting in and losing oneself trying to find their way throughout College Life. It also deals with romance and how it doesn't always work out for some characters, but does for others. It portrays flings and how romance can ruin some friendships but can blossom into love for others. There's also depictions of how rumors and gossip can effect individuals and can tear friendships apart but also how they overcome these obstacles. Overall, although this series has a lot episodes, they are quite short in length and you can easily finish it in a day or two or it can be something you watch overtime as each episode focuses on something different.If you enjoy short series and just want something light to watch, go for it - it's on YouTube, waiting for you to watch it!"
No Going Back Romance,,,6930,2020.0,2020.0,10,,,,"A teen romance of So Dam, a sixteen-year-old girl, who has never dated before but she receives her first-ever love confession from a mysterious boy. She is looking for the boy who secretly confessed to her while she was asleep on her desk. The clues include a male voice, mango fruit scent and gym uniform. She must piece the puzzle to find that person among the likely candidates that include hot shots Park Ji Hoo,  Jeong Han Kyul, and Joo In Hyuk.(Source: MyDramaList, newsin)","Kang Tae Woo, Lee Da Yeon, Moon Bin, Nana, Park Jae Chan, Yoon San",Naver TV Cast vLive,"A cute and lighthearted middle school web drama!  This was a super light romance about a middle school girl looking for the guy who confessed to her. I liked that the episodes were short as this is a web drama and got over in 10 episodes without diluting the spirit of the story.Lets be clear - the story is nothing new  but the acting by the idols and actors was good. All the incidences that cropped up were resolved satisfactorily and we got a happy ending. I liked the second ML better but hey I wasn't the girl so its okay. I will live.I was looking for a short and sweet romcom as a break from ""Joy of Life"" and this drama delivers that. Totally recommend this as a filler between long serious dramas! :)"
No Matter What,,,6526,2020.0,2020.0,120,,,,"There are four young men and women who try to fiercely overcome the difficulties while fighting against the prejudices of the world. Bo Ra, a rising weather caster, Dae Ro, a passionate delivery boy and a youth creator, Ah Ri, a fearless broadcasting writer, and Jun Soo, sharp-tempered but competent CEO of a start-up. The fierce process of these four youth’s growth takes place at a beautiful flower shop. Watching Bo Ra who gives the weather forecast every dawn is Dae Ro’s only healing time during his hectic life as an orphan, delivery boy, and creator. One day, he attends a ceremony as a winner which Bo Ra hosts. It is a family drama that depicts how they form a connection and overcome difficulties with a warm gaze. (Source:  Viki)","Choi Woong, Do Ji Won, Jung Heon, Jung Min Ah, Kim Yoo Suk, Na Hye Mi",KBS1,"Overall I liked it because of the comedy. My favorites were: Ms. Han and grandpa were hilarious. I missed Ms. Han when she gave up her disguise.Jun Soo and Ah Ri made a cute couple.The Dads were awful, especially Ah ris dad.  He was  so tiresome that I found myself hating him more than Bo Ras dad. I was so done with both of them at the end. Meal time and podcast taping at Grandpas was always fun to watch.Loved that the ex-wife and current wife teamed up against the husband.   Was this review helpful to you? Yes No Cancel"
No One Special,,,99999,2021.0,2021.0,16,,,,,"Jung Soo Han, Kim Dae Hoon, Kim Gyu Nam, Kim Jung Ah",,
No Time for Love,,,4223,2018.0,2018.0,8,,,,The story of 4 individuals and their struggle prioritising studies and job over love.,"Joo Byung Ha, Kim Nu Ri, Park Sang Nam, Song Yi Jae",Naver TV Cast,"First of all, for a web drama with only eight episodes, this one was executed pretty good. Even though it felt a bit rushed, the story started and concluded decently. Also, the twist of the love story was very entertaining and unexpected, as, usually, they would have followed another plot line (I can't say more, for I would have spoiled the twist, which is the highlight of this drama). The love story was cute as well. Now, the story isn't anything special, but it is entertaining. The performances were good as well.   Was this review helpful to you? Yes No Cancel"
"No, Thank You",,,42929,2020.0,2020.0,12,,,,"Is about the various things that occur when an ordinary daughter-in-law enters her in-laws’ household for the first time.The drama centers around Min Sa Rin. She is an expert at her job, having been an employee at a major corporation for 7 years, but still a rookie at marriage, having only been married for one month. She tries hard to be liked by her in-laws, but encounters unexpected incidents and finds it hard to get along with her new family.Moo Goo Young is her ordinary husband who is not particularly good or bad. Although he loves his wife, he gets caught up in the confusion between her and his family. Park Gi Dong is Moo Goo Young’s mother and Min Sa Rin’s mother-in-law. She is an extremely realistic mother-in-law.","Baek Eun Hye, Jo Wan Ki, Kim Jong Goo, Kwon Yool, Moon Hee Kyung, Park Ha Sun",Daum Kakao TV,
"No, Thank You Season 2",,,43224,2022.0,2022.0,12,,,,"Min Sa Rin has adapted herself to the role of a daughter-in-law and her life is going relatively smoothly. She gets involved in an unexpected case.(Source: Asianwiki)~~ Adapted from the webcomic ""Myeoneuragi"" (며느라기) by Soo Shin Ji (수신지). ","Baek Eun Hye, Jo Wan Ki, Kim Jong Goo, Kwon Yool, Moon Hee Kyung, Park Ha Sun",Daum Kakao TV,
"Noble, My Love",,,5090,2015.0,2015.0,20,,,,"Kang Hoon is the handsome, conceited CEO of a large company and heads D.O.L's Korean branch in Seoul. One day, he is kidnapped and dramatically escapes from the bad guys, but he bleeds so much that he blacks out in front of an animal hospital in a rural town. Yoon Seo, a veterinarian, finds him and treats him to recovery. Being kind-hearted, she won't accept any payment from him but he won't take no for an answer and buys the building her hospital is in, forcing her to set up practice in Seoul where she has both friends and frenemies from vet school. Even though he looks down on her, he pays her to pretend to be his girlfriend to avoid blind dates set up by his family, becoming more and more possessive of her time and attention. Can deeper feelings develop between a man so arrogant and a woman so genuine?(Source: Otabenga at MyDramaList)~~ Adapted from a web novel ""Noble, My Love"" (고결한 그대) by Go Gyul (고결).","Kim Dong Seok, Kim Jae Kyung, Lee Seung Yeon, Park Eun Seok, Park Shin Woon, Sung Hoon",Naver TV Cast,"This was a quickie web-drama. Watched the entire thing on a rainy Saturday. It was a cute rom-com. Not remarkable in any way, but enjoyable and cute romance and cute main leads. It was obviously lower-budget as they couldn't afford anything fancy with the sets. For the office of a CEO - we never even found out what his company was about and he ended up sharing an office later. And the female lead ended up living in her veterinarian office. But since it was a short series anyway, I could overlook some budget saving measures. It was a good time pass, but nothing worth watching again.

ETA - forgot to say that the main lead character seemed a little controlling at times, but since this was so short it didn't get on my nerves as bad as it would have if it'd been a regular length drama."
Nobleman Ryu's Wedding,,,7844,2021.0,2021.0,8,,,,"On a  warm spring day during the Joseon Dynasty, the wedding of Ryu Ho Seon and his beautiful bride, Hwa Jin, takes place. But come their wedding night, Ho Seon becomes suspicious of his beloved. And with good reason, for his bride is a man!And now Ho Seon finds himself face-to-face with the bride’s brother, Choi Ki Wan, who explains that Hwa Jin’s loathing of political marriages drove her to disappear before the ceremony even began. Needless to say, Ho Seon quickly tries to annul the marriage, but his ailing mother is opposed to such a move. The pair must now maintain their union, one that can never be revealed to a single soul! When  Kim Tae Hyeong, comes to congratulate his friend Ho Seon, he falls for Ki Wan and immediately commences to court him. Now both Ki Wan and Ho Seon find themselves in a difficult position. Caught between honouring his ailing mother’s wishes and the unending flood of love letters for Ki Wan, Ho Seon is only too aware that there is little time to waste.  To further complicate matters, Hwa Jin chooses to make her impromptu return at this time. The only way to soothe the pain in everyone’s hearts is to return everyone to their rightful places. But is this easier said than done?","Cha Soo Jin, Han Se Jin, Jang Eui Soo, Jung Jae Eun, Kang In Soo, Kim Seung Wook",,"Arranged marriage + secret identity with a cinnamon rolls pairing  Pitch perfect new BL in the now typical Korean style: 1. well defined character roles and social positioning 2. fast pacing because of the short run time 3. very small cast 4. extremely high production values and so PRETTY 5. light-touch meets strategic trope use 6. very soft bois and a weak seme/uke dynamic A historical setting allowed this one to use some seriously old fashioned romance tropes, arranged marriage and evil step-sisters, but also modern BL stylings like fake relationship and secret identity plus some gentle gay panic. So flipping cute, their little smiles, just GAH. Bit of a dead fish kiss but I dont care because I loved this tiny show full of soft sweethearts and no one saying anything directly (except our man with the poetry, I hope he finds his true love). Adorable.It was a lot more light-hearted and gentle than any historical BL to date, which is Korea stamping the sub-genre with its mark and standing up to Chinas darker BL traditions. It reminded me of 12th Night more than anything else which just happens to be my favorite Shakespeare play. For all these reasons, I adored it."
Nobody Knows,8.5,"Drama, Melodrama, Mystery, Thriller",#102,2020.0,2020.0,16,70.0,,"Calm Female Lead, Death, Guilt, Murder, Serial Killer, Smart Female Lead, Strong Female Lead, Strong Friendship, Trauma, Unusual Friendship","Detective Young Jin, from the regional investigation unit, has only one thing on her mind: to catch the 'Stigmata' serial killer that murdered her friend 19 years ago. She carries guilt and trauma over the event. She has no friends and lives alone. Her downstairs neighbor’s son, Eun Ho, has built a relationship with her ever since she moved above their apartment. He does menial house chores for her. One day Eun Ho, seems to have fallen off the roof of their apartment building and left in a coma. Young Jin senses foul play and decides to take it upon herself to get to the bottom of it. With the help of Eun Ho’s homeroom teacher, Sun Woo, the both begin to uncover that Eun Ho’s injuries were no accident. Edit Translation  English Русский Italiano Español","Ahn Ji Ho, Kang Ye Won, Kim Seo Hyung, Min Jin Woong, Park Hoon, Ryu Deok Hwan",SBS,"I think one thing people should keep in mind before starting this is that this is not the typical fast paced crime drama. their main objective was not finding clues each week or having episodic stand alone crimes that distract them from the main ""guy"" until the last ep. it was not a competition between the good vs the bad, it was not a chase.everything in this drama revolved around each other, everything was somewhat connected, one thing led to another and slowly they'd reveal the big picture inside the big picture.Cha Young Jin is one of my favorite characters, not just as a female. she was the best detective I've ever seen. the past trauma didn't make her cold, reserved and jaded. she was a human. she cried, she smiled, she listened, she empathized, she admitted her mistakes and she asked for help when she had to. most crime show detectives are the complete opposite that they just feel robotic, plus 99% of them blend into one giant cold lone wolf with anger issues ;)she was kinda too skinny, but I think she had great technique during her fight scenes that made it believable (and so hot), I mean bones are sharp and strong enough to hurt right? xDalso, she has ruined every crime drama male lead out there, no one will be able to surpass her. *cue My Sassy Girl ost*Lee Sun Woo, our ""male lead"" had the opposite role from our active detective. he was a teacher so of course he couldn't investigate, and in some ways he took the role that is usually thrown at women in crime dramas, he had to stand in the side lines waiting like everyone else.but he was still a great guy. he learned from his mistakes and he genuinely cared for his students and he came out of this a better man.Go Eun Ho was just SUNSHINE! and the glue that stuck this drama together, the ""core"" of this drama.also the detective team were awesome, each member was unique, though I wish they gave them a little more screentime ;(Baek Sang Ho... he was so intriguing... he was such a complex character. he ""saved"" people by exploiting/healing their biggest scar, and then he used them dry.. the ending of this drama and their team was so so sad and heartbreaking, and his laughs were chilling.usually, without spoiling anything, I hate crime drama endings becasue everyone just dies and the rest simply move on. but this was such a satisfactory well rounded ending I couldn't help but cry for Baek Sang Ho's end..the ost was beautiful and rather than rewatching I hope for a second season, but this was the 1st crime drama I enjoyed in almost 4 or 2 years that I might actually rewatch it again knowing what I know nowrewatching this I had forgotten about some details regarding the incidents, the biggest impactful details for me were the unexpected friendships vs the manipulative relationshipsbut during this rewatch I was more interested in the twisted relationships of the villains, it wasn't really a cult thing, but the greed, the psychopathness and the love of control was the driving forceas a story, usually mystery dramas had that thing, here as ""where is the lost book"", that seems to be the solution to everything, and once they reach it, it becomes a anticlimactic fast wrap up storyfor this, they had a clear, search, found and a real after effect of what that book contained.as a villain, it was actually really sad, especially when he thought ""what if cha youngjin had found me"" while also giving a sad ending of him not only being punished by going back to his worse nightmare but also the satisfaction of him not just dying and actually getting a punishment worthy of his evil deeds.Seo Sang Won was a psychopath, his father was greedy for power and money that he didn't care for the havoc his son made but instead he used it and the kids Seo Sang Won had to increase his region of power.his sister was fully just greedy for the money and Jang Gi Ho tho lost in his father's haze still had the least evil conception of their cultusually the villain team becomes annoying but here the love and suffocating control Baek Sang Ho had on them not only made them want to rebel but it gave the trio their own bonding that outpowered their fear of Baek Sang HoBaek Sang Ho being twisted as a kid, using the murder of cha youngjin's friend as his stepping stone to outpower his dad and break away from his hold while also still becoming twisted enough to enjoy the chase and obsession left in cha youngjin's heart.his final laugh was taunting tho I do wish it was longer to fully showcase the devastation in his downfalloverall I wish they gave a bit more screen time to the villains fears and darkness a bit moreone of the things I loved about cha youngjin wasn't just her kickass, independent, smart leading boss lady persona but also her strength in showing weakness, vulnerability and tears, not as an attempt to make her ""feminine"" but as a way to show her as a human, as apposed to a ""traumatic"" male leadI also adored Lee Sun Woo's position as what would usually be the female lead, but in a way again as to not ""threaten"" his ""masculinity"" but in a way to make him a great caregiver and sweetness that was lacking in ""what a man should be like"""
Noise,,,46095,2019.0,2019.0,7,,,,,"Kim Jang Won, Kim Jin Woo, Moon Ji Won, Son Ye Ji",,
"Not Alright, But It's Alright",,,3614,2018.0,2018.0,10,,,,"Ji Ahn is a new contract employee at an advertising company. What challenges await her there and how or if she overcomes it is the backdrop of the story.The real story of adulting!“Not All Right, But It’s Alright” for struggling youths.(Source: Playlist Global) ","Jeong Ui Seong, Kim Han Na, Kim Min Ha, So Ju Yeon, Song Geon Hee",Naver TV Cast vLive,"Global Playlist is really trying out new plot lines!! This one follows the adventures of an office worker, as she matures in her new position in a company. She was really cute and sweet as a character overall. And her performance was really good. The rest of the cast were top notch as well. Actually, my only complain about this one was the ending. Not that it wasn't satisfying from the office life prospective, but they never concluded the romance. If they didn't want to focus on her love life, then why present us with such a sweet love story??"
"Not Alright, But It's Alright: Pilot",,,47880,2017.0,2017.0,2,,,,,"Jeong Ha Yul, Kim Han Na, Lee Sun Goo, Seo Han Gyeol, So Ju Yeon",,"Frustrating and Hopeful  it tackles about finding work and being at work. the reality of job hunt, the environment when you're at work. things like that.it is so frustrating in a way and hopeful in some matters. it is relatable and doesn't focus on romance. a cute web series wherein it shows fragments of life. watched it because of So Ju Yeon. unfortunately, it can be improved with good castings and all that good stuff. its story is well written and they should make more web series that tackles slices of life. overall, it's a good watch but i will not rewatch it anymore. its plot and story is good and the moral story can be applied and analyzed in just one watch. it is simple yet meaningful"
Not Found Love,,,52575,2021.0,2021.0,10,,,,"A love story of a woman in her 20s who looks back on her different relationships with five men and sets out to find the answer to their relationship. Their journey to find the meaning of love and romance takes place at the beautiful tourist destinations in 7 regions including Gangwon-do, Jeollabuk-do, Jeju-do, Chungcheongbuk-do, Mokpo-si, Yeosu-si, and Jeonju-si. (Source: Arirang TV YouTube)","Cha Jae Hoon, Im Sung Kyun, Im Yu Bin, Seo Byuk Joon, Shim Sae Byeok, Yoon Seo Bin",,
Not a Robot,,,5260,2019.0,2019.0,12,,,,The story of a girl who shuts herself off from the world and a housekeeping robot who goes to school against the backdrop of a near future.(Source: Hancinema) ,"Jang Sung Yoon, Ji Min Hyuk, Kim Do Ah, Lee Soo Min, Nam Yoon Su, Oh Se Eun",Naver TV Cast,"The backdrop  is highschool and Cha Ga Eun is the protagonist who is pretty much an introvert. The story shows us that we must treasure the ones beside us and open up to them. When Ahn Do Young was found by the notorious Sae Ho at first he thought of revealing that Do Young was a robot but then he chooses not to. The key here is confidentiality and friendship. There's a lot of hilarious situations with Do Young's cuteness.The actors and their interactions were cute, we can watch them on and on. I'm seriously rooting for a season 2!!!   Was this review helpful to you? Yes No Cancel"
Nothing Uncovered ,7.2,"Drama, Melodrama, Mystery, Thriller",#339,2024.0,,16,,,"Age Gap [Real Life], Betrayed By A Significant Other, Broadcasting Industry, Former Prosecutor Supporting Character, Investigation, Married Life, News Director Supporting Character, News Station Setting, Partners' Relationship, Supportive Friend","KBM Reporter Seo Jung Won is known as the Villain Hunter. Her show, “Nothing Uncovered,” reports about the villains who provoked the public, and her sharp comments made the show popular, making Jung Won a star reporter. However, she gets involved in a shocking incident that drags her down to the bottom, and she has to team up with her ex-lover, Kim Tae Heon. Tae Heon is a detective at Gangha Police Station, and he has to do everything his way. He meets Jung Won while investigating a case and gets confused by their reunion. Woo Jae is Jung Won’s husband, and he's a famous mystery writer from a wealthy family. Although he’s a romantic who’s willing to do anything for Jung Won, he has been secretly hiding his wounded heart. And now, the three are deeply involved in serial murders.","Jang Seung Jo, Kim Ha Neul, Yeon Woo Jin",,
"Now, Parliament Is 36.5",,,99999,2022.0,2022.0,10,,,,A drama that depicts the struggles of provincial councilors trying to solve problems.(Source: HanCinema) ,"Joo Suk Je, Jung Tae Woo, Kim Tae Han, Seo Ji Soo, Song Min Hyung",,
